상호명,상권업종중분류명,위도,경도
명동얼큰칼국수,분식,37.56261206,126.9819614
도치피자장충점,패스트푸드,37.56066408,127.0050102
들국화,분식,37.56251146,127.0147087
파리바게뜨,제과제빵떡케익,37.5652673,127.0199585
국대떡볶이,분식,37.56042498,126.9853868
크레이지떡동대문밀리오레점,분식,37.56745169,127.0074782
그집국수남대문,분식,37.55626573,126.9743289
조스샌드위치,패스트푸드,37.56313904,126.9731028
이삭토스트,패스트푸드,37.56085881,126.9834454
파리바게뜨신당역아크로점,제과제빵떡케익,37.56593983,127.0217382
오가분식,분식,37.56291708,127.0029202
콜드스톤크리머리,패스트푸드,37.55549473,126.9737396
피자모레,패스트푸드,37.56322733,126.9822587
미스터피자,패스트푸드,37.56533379,126.9809849
명동칼국수,분식,37.55495411,127.0117637
미단,제과제빵떡케익,37.56403683,126.9841833
라꾸라꾸,분식,37.56797182,126.9693348
배스킨라빈스31,패스트푸드,37.56383024,127.0150988
야쿤카야토스트,패스트푸드,37.56840963,126.9782375
배스킨라빈스31,패스트푸드,37.56679277,127.0073398
압구정김밥,분식,37.56528434,127.0176718
파리바게뜨,제과제빵떡케익,37.56647828,126.9810033
닭한마리칼국수,분식,37.55851748,126.9690576
충무김밥서울역점,분식,37.55428983,126.9740278
에그타트,제과제빵떡케익,37.56185991,126.9856503
명화당,분식,37.56236668,126.9838098
파리바게뜨,제과제빵떡케익,37.554719,126.9695061
소문난국수집,분식,37.56623583,127.0204892
바오쯔만두,분식,37.56168372,127.0170173
창아랑김밥,분식,37.55438443,127.0115222
우동일번가,분식,37.5626658,126.9934835
남촌분식,분식,37.55825089,126.9767351
죠스떡볶이,분식,37.56387192,126.9755263
로티보이,제과제빵떡케익,37.56471871,126.9838457
도넛플랜트뉴욕시티,제과제빵떡케익,37.56395856,126.9824185
김가네,분식,37.55350899,127.0092023
이베떡달라붙는떡볶이,분식,37.56225906,126.9838678
명동떡볶이,분식,37.56589884,126.9838184
미가도시락시청점,패스트푸드,37.5670073,126.9796603
더컵,패스트푸드,37.56451661,126.9833957
신라명과,제과제빵떡케익,37.55942941,126.9817331
현대칼국수,분식,37.56290138,126.9768639
미니네닭발떡볶이,분식,37.56287448,127.0150208
스쿨푸드,분식,37.56252242,126.9851546
진미칼국수,분식,37.56256765,126.9778646
마복림떡볶이할머니,분식,37.5632084,127.0150843
아티제신라면세점,제과제빵떡케익,37.55774919,127.0076861
